Solute,Solvent,Temperature_K,Solubility,Units
CCCCCCCCCCCCCCCCCCCC(=O)OCCO,ethanol,311.25,0.0100827943457764,mol/L
CCCCCCCCCCCCCCCCCCCC(=O)OCCO,ethanol,314.65,0.0201002202269447,mol/L
CCCCCCCCCCCCCCCCCCCC(=O)OCCO,ethanol,319.15,0.033356167080529,mol/L
CCCCCCCCCCCCCCCCCCCC(=O)OCCO,ethanol,322.15,0.0833558965853702,mol/L
CCCCCCCCCCCCCCCCCCCC(=O)OCCO,ethanol,324.15,0.2332861125475602,mol/L
CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,ethanol,296.35,0.0017078905304198,mol/L
CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,ethanol,302.05,0.0033944948796854,mol/L
CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,ethanol,305.35,0.0050734677069868,mol/L
CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,ethanol,311.65,0.0117591224641705,mol/L
CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,ethanol,313.05,0.0150979770486418,mol/L
CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,ethanol,322.45,0.2201093754487493,mol/L
O=[N+]([O-])c1cccc2ccccc12,ethanol,298.15,0.4862523174295823,mol/L
CC(=O)Nc1ccc(O)cc1,ethanol,293.15,0.9105717764091924,mol/L
CC(=O)Nc1ccc(O)cc1,ethanol,298.15,0.9846360783233497,mol/L
CC(=O)Nc1ccc(O)cc1,ethanol,303.15,1.1204061618705714,mol/L
CC(=O)Nc1ccc(O)cc1,ethanol,308.15,1.2102355344377531,mol/L
CC(=O)Nc1ccc(O)cc1,ethanol,313.15,1.2712822620035378,mol/L
O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1,ethanol,293.15,0.2344398320827542,mol/L
O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1,ethanol,298.15,0.2665854312990809,mol/L
O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1,ethanol,303.15,0.2907715875705873,mol/L
O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1,ethanol,313.15,0.4340835653483638,mol/L
O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1,ethanol,323.15,0.6786913437811469,mol/L
CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,ethanol,298.15,0.0002216397738044,mol/L
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,ethanol,288.2,0.0454546938177659,mol/L
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,ethanol,293.2,0.0649232972302499,mol/L
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,ethanol,298.2,0.0910352360593422,mol/L
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,ethanol,303.2,0.1251407467435507,mol/L
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,ethanol,308.2,0.170009884144437,mol/L
