Solute,Solvent,Temperature_K,Solubility,Units,MW,LogP,TPSA,HBD,HBA
Clc1ccccc1Cl,water,298,-3.177212386,mol/L,147.00399999999996,2.9934000000000003,0.0,0.0,0.0
Clc1ccccc1Cl,water,298,-3.180557418,mol/L,147.00399999999996,2.9934000000000003,0.0,0.0,0.0
[Br-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,water,298,-3.616127121,mol/L,392.5100000000002,3.9581000000000017,0.0,0.0,0.0
O=C1Nc2cccc3cccc1c23,water,298,-3.254767098,mol/L,169.18299999999996,2.405500000000001,29.1,1.0,1.0
Clc1ccc(C=O)cc1,water,298,-2.177077944,mol/L,140.569,2.1525,17.07,0.0,1.0
C[Si](C)(C)N[Si](C)(C)C,water,298,-2.244107631,mol/L,161.397,2.2458,12.03,1.0,1.0
Clc1ccccc1Cl,water,298,-3.202127451,mol/L,147.00399999999996,2.9934000000000003,0.0,0.0,0.0
[Zn++].CC(c1ccccc1)c2cc(C(C)c3ccccc3)c(O)c(c2)C([O-])=O.CC(c4ccccc4)c5cc(C(C)c6ccccc6)c(O)c(c5)C([O-])=O,water,298,-3.924409095,mol/L,756.2260000000002,8.11610000000001,120.72,2.0,6.0
C1OC1CN(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3,water,298,-4.662064583,mol/L,422.5250000000002,2.4854000000000003,56.6,0.0,6.0
Cc1cccc(C=C)c1,water,298,-3.123150304,mol/L,118.17899999999999,2.638020000000001,0.0,0.0,0.0
CCC1CCC(CCC(O)=O)C1,water,298,-3.286116314,mol/L,170.25199999999998,2.6775,37.3,1.0,1.0
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,water,298,-2.664548539,mol/L,376.4490000000002,0.5283999999999995,115.06000000000002,4.0,6.0
CC(C)=CCC\C(C)=C/CO,water,298,-2.280134812,mol/L,154.253,2.6714000000000016,20.23,1.0,1.0
Fc1ccc(cc1)C(=O)c2ccc(F)cc2,water,298,-4.396652185,mol/L,218.202,3.195800000000001,17.07,0.0,1.0
O=C(OCCCOCCCOC(=O)c1ccccc1)c2ccccc2,water,298,-4.595502564,mol/L,342.391,3.497200000000002,61.830000000000005,0.0,5.0
CC(C)(C)C1CCC(CC1)OC(=O)C=C,water,298,-3.428004722,mol/L,210.31699999999995,3.320500000000002,26.3,0.0,2.0
CN(C)c1ccc(C=O)cc1,water,298,-2.28276885,mol/L,149.19299999999998,1.5651,20.310000000000002,0.0,2.0
CC(=O)OC(C)(C)Cc1ccccc1,water,298,-2.394649969,mol/L,192.25800000000004,2.570800000000001,26.3,0.0,2.0
Cc1ccc(O)c(C)c1.Cc2ccc(C)c(O)c2.Cc3cc(C)cc(O)c3.Cc4ccc(O)cc4C.Cc5cccc(O)c5C.Cc6cccc(C)c6O,water,298,-1.980309796,mol/L,733.0020000000002,12.05423999999998,121.38000000000001,6.0,6.0
Cc1cccc(C)c1O,water,298,-1.202158545,mol/L,122.16699999999999,2.00904,20.23,1.0,1.0
CC(C)(C)c1ccc(OCC2CO2)cc1,water,298,-3.43023888,mol/L,206.28499999999997,2.761700000000001,21.759999999999998,0.0,2.0
COCCCCC(=O)c1ccc(cc1)C(F)(F)F,water,298,-3.544059701,mol/L,260.255,3.7048000000000023,26.3,0.0,2.0
CC(C)=CCC\C(C)=C/CO,water,298,-2.320601166,mol/L,154.253,2.6714000000000016,20.23,1.0,1.0
CC(Oc1ccc(Cl)cc1C)C(O)=O,water,298,-2.466030786,mol/L,214.64799999999997,2.5003199999999994,46.53,1.0,2.0
[Zn++].CCCCC(CC)CO[P]([S-])(=S)OCC(C)C.CCCCC(CC)CO[P]([S-])(=S)OCC(C)C,water,298,-2.958195047,mol/L,660.2820000000003,9.324300000000001,36.92,0.0,8.0
FC(F)(F)c1cccc(Cl)c1,water,298,-3.411513885,mol/L,180.55599999999998,3.3588000000000005,0.0,0.0,0.0
CCC(C)(CCC(C)C)C(=O)OCC1CO1,water,298,-3.513468741,mol/L,228.33199999999994,2.780900000000001,38.83,0.0,3.0
CC(C)CCCCCOC(=O)CCS,water,298,-4.4543817,mol/L,218.362,3.0659000000000023,26.3,1.0,3.0
CC(C)=C1CCC(=CC1)C,water,298,-4.287342935,mol/L,136.238,3.453000000000002,0.0,0.0,0.0
[Na+].[Al+3].[O-][Si]([O-])=O.[O-][Si]([O-])=O,water,298,-3.473139052,mol/L,202.13799999999998,-9.132000000000001,126.38,0.0,6.0
